entity,code,year,u5mr
Afghanistan,AFG,1957,36.82
Afghanistan,AFG,1958,36.21
Afghanistan,AFG,1959,35.64
Afghanistan,AFG,1960,35.06
Afghanistan,AFG,1961,34.52
Afghanistan,AFG,1962,34.02
Afghanistan,AFG,1963,33.5
Afghanistan,AFG,1964,32.97
Afghanistan,AFG,1965,32.45
Afghanistan,AFG,1966,31.95
Afghanistan,AFG,1967,31.48
Afghanistan,AFG,1968,31.0
Afghanistan,AFG,1969,30.49
Afghanistan,AFG,1970,30.0
Afghanistan,AFG,1971,34.43
Afghanistan,AFG,1972,33.79
Afghanistan,AFG,1973,28.47
Afghanistan,AFG,1974,27.95
Afghanistan,AFG,1975,27.42
Afghanistan,AFG,1976,26.86
Afghanistan,AFG,1977,26.29
Afghanistan,AFG,1978,25.69
Afghanistan,AFG,1979,25.11
Afghanistan,AFG,1980,24.52
Afghanistan,AFG,1981,23.9
Afghanistan,AFG,1982,27.7
Afghanistan,AFG,1983,27.12
Afghanistan,AFG,1984,30.38
Afghanistan,AFG,1985,29.6
Afghanistan,AFG,1986,25.05
Afghanistan,AFG,1987,24.42
Afghanistan,AFG,1988,19.43
Afghanistan,AFG,1989,18.78
Afghanistan,AFG,1990,18.14
Afghanistan,AFG,1991,17.52
Afghanistan,AFG,1992,16.91
Afghanistan,AFG,1993,16.35
Afghanistan,AFG,1994,15.83
Afghanistan,AFG,1995,15.34
Afghanistan,AFG,1996,14.88
Afghanistan,AFG,1997,14.44
Afghanistan,AFG,1998,14.02
Afghanistan,AFG,1999,13.6
Afghanistan,AFG,2000,13.17
Afghanistan,AFG,2001,12.75
Afghanistan,AFG,2002,12.31
Afghanistan,AFG,2003,11.85
Afghanistan,AFG,2004,11.39
Afghanistan,AFG,2005,10.93
Afghanistan,AFG,2006,10.48
Afghanistan,AFG,2007,10.04
Afghanistan,AFG,2008,9.61
Afghanistan,AFG,2009,9.19
Afghanistan,AFG,2010,8.8
Afghanistan,AFG,2011,8.43
Afghanistan,AFG,2012,8.08
Afghanistan,AFG,2013,7.76
Afghanistan,AFG,2014,7.46
Afghanistan,AFG,2015,7.19
Afghanistan,AFG,2016,6.94
Afghanistan,AFG,2017,6.71
Afghanistan,AFG,2018,6.48
Afghanistan,AFG,2019,6.27
Afghanistan,AFG,2020,6.07
Afghanistan,AFG,2021,5.87
Afghanistan,AFG,2022,5.68
Afghanistan,AFG,2023,5.49
Afghanistan,AFG,2024,5.3
Albania,ALB,1978,9.66
Albania,ALB,1979,8.88
Albania,ALB,1980,8.16
Albania,ALB,1981,7.5
Albania,ALB,1982,6.89
Albania,ALB,1983,6.36
Albania,ALB,1984,5.88
Albania,ALB,1985,5.46
Albania,ALB,1986,5.09
Albania,ALB,1987,4.77
Albania,ALB,1988,4.5
Albania,ALB,1989,4.26
Albania,ALB,1990,4.06
Albania,ALB,1991,3.88
Albania,ALB,1992,3.73
Albania,ALB,1993,3.6
Albania,ALB,1994,3.47
Albania,ALB,1995,3.35
Albania,ALB,1996,3.22
Albania,ALB,1997,3.09
Albania,ALB,1998,2.96
Albania,ALB,1999,2.83
Albania,ALB,2000,2.7
Albania,ALB,2001,2.56
Albania,ALB,2002,2.43
Albania,ALB,2003,2.29
Albania,ALB,2004,2.14
Albania,ALB,2005,2.0
Albania,ALB,2006,1.85
Albania,ALB,2007,1.71
Albania,ALB,2008,1.58
Albania,ALB,2009,1.45
Albania,ALB,2010,1.33
Albania,ALB,2011,1.22
Albania,ALB,2012,1.12
Albania,ALB,2013,1.05
Albania,ALB,2014,0.99
Albania,ALB,2015,0.96
Albania,ALB,2016,0.94
Albania,ALB,2017,0.93
Albania,ALB,2018,0.93
Albania,ALB,2019,0.94
Albania,ALB,2020,0.94
Albania,ALB,2021,0.95
Albania,ALB,2022,0.94
Albania,ALB,2023,0.94
Albania,ALB,2024,0.92
Algeria,DZA,1954,24.31
Algeria,DZA,1955,24.22
Algeria,DZA,1956,24.13
Algeria,DZA,1957,24.05
Algeria,DZA,1958,23.98
Algeria,DZA,1959,23.92
Algeria,DZA,1960,23.92
Algeria,DZA,1961,23.95
Algeria,DZA,1962,24.0
Algeria,DZA,1963,24.12
Algeria,DZA,1964,24.23
Algeria,DZA,1965,24.37
Algeria,DZA,1966,24.48
Algeria,DZA,1967,24.52
Algeria,DZA,1968,24.5
Algeria,DZA,1969,24.36
Algeria,DZA,1970,24.05
Algeria,DZA,1971,23.62
Algeria,DZA,1972,23.06
Algeria,DZA,1973,22.4
Algeria,DZA,1974,21.65
Algeria,DZA,1975,20.83
Algeria,DZA,1976,19.95
Algeria,DZA,1977,19.01
Algeria,DZA,1978,18.01
Algeria,DZA,1979,16.88
Algeria,DZA,1980,15.56
Algeria,DZA,1981,14.03
Algeria,DZA,1982,12.31
Algeria,DZA,1983,10.52
Algeria,DZA,1984,8.91
Algeria,DZA,1985,7.61
Algeria,DZA,1986,6.63
Algeria,DZA,1987,5.96
Algeria,DZA,1988,5.54
Algeria,DZA,1989,5.3
Algeria,DZA,1990,5.16
Algeria,DZA,1991,5.08
Algeria,DZA,1992,5.02
Algeria,DZA,1993,4.96
Algeria,DZA,1994,4.9
Algeria,DZA,1995,4.81
Algeria,DZA,1996,4.7
Algeria,DZA,1997,4.59
Algeria,DZA,1998,4.46
Algeria,DZA,1999,4.32
Algeria,DZA,2000,4.17
Algeria,DZA,2001,4.02
Algeria,DZA,2002,3.86
Algeria,DZA,2003,3.7
Algeria,DZA,2004,3.54
Algeria,DZA,2005,3.39
Algeria,DZA,2006,3.25
Algeria,DZA,2007,3.12
Algeria,DZA,2008,3.01
Algeria,DZA,2009,2.9
Algeria,DZA,2010,2.81
Algeria,DZA,2011,2.73
Algeria,DZA,2012,2.66
Algeria,DZA,2013,2.59
Algeria,DZA,2014,2.54
Algeria,DZA,2015,2.49
Algeria,DZA,2016,2.45
Algeria,DZA,2017,2.4
Algeria,DZA,2018,2.37
Algeria,DZA,2019,2.33
Algeria,DZA,2020,2.29
Algeria,DZA,2021,2.26
Algeria,DZA,2022,2.23
Algeria,DZA,2023,2.2
Algeria,DZA,2024,2.16
Angola,AGO,1980,23.28
Angola,AGO,1981,22.88
Angola,AGO,1982,22.55
Angola,AGO,1983,22.21
Angola,AGO,1984,21.93
Angola,AGO,1985,21.73
Angola,AGO,1986,21.56
Angola,AGO,1987,21.46
Angola,AGO,1988,21.38
Angola,AGO,1989,21.32
Angola,AGO,1990,21.27
Angola,AGO,1991,21.26
Angola,AGO,1992,21.24
Angola,AGO,1993,21.21
Angola,AGO,1994,21.14
Angola,AGO,1995,20.99
Angola,AGO,1996,20.73
Angola,AGO,1997,20.35
Angola,AGO,1998,19.84
Angola,AGO,1999,19.22
Angola,AGO,2000,18.5
Angola,AGO,2001,17.63
Angola,AGO,2002,16.64
Angola,AGO,2003,15.55
Angola,AGO,2004,14.37
Angola,AGO,2005,13.15
Angola,AGO,2006,11.98
Angola,AGO,2007,10.9
Angola,AGO,2008,9.92
Angola,AGO,2009,9.07
Angola,AGO,2010,8.34
Angola,AGO,2011,7.72
Angola,AGO,2012,7.2
Angola,AGO,2013,6.79
Angola,AGO,2014,6.45
Angola,AGO,2015,6.18
Angola,AGO,2016,5.96
Angola,AGO,2017,5.79
Angola,AGO,2018,5.65
Angola,AGO,2019,5.53
Angola,AGO,2020,5.42
Angola,AGO,2021,5.32
Angola,AGO,2022,5.19
Angola,AGO,2023,5.05
Angola,AGO,2024,4.9
Bangladesh,BGD,1950,35.48
Bangladesh,BGD,1960,26.36
Bangladesh,BGD,1970,27.1
Bangladesh,BGD,1980,20.72
Bangladesh,BGD,1990,14.65
Bangladesh,BGD,1995,11.55
Bangladesh,BGD,2000,8.55
Bangladesh,BGD,2005,6.3
Bangladesh,BGD,2010,4.87
Bangladesh,BGD,2015,3.85
Bangladesh,BGD,2018,3.35
Bangladesh,BGD,2019,3.23
Bangladesh,BGD,2020,3.14
Bangladesh,BGD,2021,3.09
Bangladesh,BGD,2022,3.07
Bangladesh,BGD,2023,3.06
Bangladesh,BGD,2024,3.05
Brazil,BRA,1950,21.9
Brazil,BRA,1960,16.98
Brazil,BRA,1970,13.21
Brazil,BRA,1980,9.58
Brazil,BRA,1990,6.28
Brazil,BRA,2000,3.44
Brazil,BRA,2010,1.86
Brazil,BRA,2015,1.6
Brazil,BRA,2018,1.52
Brazil,BRA,2019,1.5
Brazil,BRA,2020,1.49
Brazil,BRA,2021,1.47
Brazil,BRA,2022,1.46
Brazil,BRA,2023,1.44
Brazil,BRA,2024,1.42
Chad,TCD,1950,27.87
Chad,TCD,1960,26.76
Chad,TCD,1970,25.49
Chad,TCD,1980,23.89
Chad,TCD,1990,21.14
Chad,TCD,2000,18.24
Chad,TCD,2010,14.67
Chad,TCD,2015,12.87
Chad,TCD,2018,11.76
Chad,TCD,2019,11.4
Chad,TCD,2020,11.06
Chad,TCD,2021,10.73
Chad,TCD,2022,10.39
Chad,TCD,2023,10.06
Chad,TCD,2024,9.73
China,CHN,1950,31.71
China,CHN,1960,30.9
China,CHN,1970,11.21
China,CHN,1980,6.26
China,CHN,1990,5.36
China,CHN,2000,3.66
China,CHN,2010,1.57
China,CHN,2015,1.07
China,CHN,2018,0.86
China,CHN,2019,0.8
China,CHN,2020,0.75
China,CHN,2021,0.7
China,CHN,2022,0.66
China,CHN,2023,0.61
China,CHN,2024,0.57
Egypt,EGY,1955,37.4
Egypt,EGY,1960,32.44
Egypt,EGY,1970,25.0
Egypt,EGY,1980,16.98
Egypt,EGY,1990,8.6
Egypt,EGY,2000,4.73
Egypt,EGY,2010,3.05
Egypt,EGY,2015,2.65
Egypt,EGY,2018,2.52
Egypt,EGY,2019,2.48
Egypt,EGY,2020,2.44
Egypt,EGY,2021,2.4
Egypt,EGY,2022,2.35
Egypt,EGY,2023,2.29
Egypt,EGY,2024,2.24
Ethiopia,ETH,1966,25.14
Ethiopia,ETH,1970,24.96
Ethiopia,ETH,1980,24.19
Ethiopia,ETH,1990,20.2
Ethiopia,ETH,2000,14.01
Ethiopia,ETH,2010,8.27
Ethiopia,ETH,2015,6.44
Ethiopia,ETH,2018,5.58
Ethiopia,ETH,2019,5.36
Ethiopia,ETH,2020,5.15
Ethiopia,ETH,2021,7.04
Ethiopia,ETH,2022,6.81
Ethiopia,ETH,2023,5.15
Ethiopia,ETH,2024,4.45
