entity,code,year,u5mr
Africa,OWID_AFR,1971,23.75
Africa,OWID_AFR,1972,23.78
Africa,OWID_AFR,1973,23.25
Africa,OWID_AFR,1974,22.97
Africa,OWID_AFR,1975,22.47
Africa,OWID_AFR,1976,21.64
Africa,OWID_AFR,1977,21.05
Africa,OWID_AFR,1978,20.58
Africa,OWID_AFR,1979,20.11
Africa,OWID_AFR,1980,19.82
Africa,OWID_AFR,1981,18.98
Africa,OWID_AFR,1982,18.52
Africa,OWID_AFR,1983,18.95
Africa,OWID_AFR,1984,18.43
Africa,OWID_AFR,1985,18.1
Africa,OWID_AFR,1986,17.63
Africa,OWID_AFR,1987,16.81
Africa,OWID_AFR,1988,17.86
Africa,OWID_AFR,1989,16.38
Africa,OWID_AFR,1990,16.24
Africa,OWID_AFR,1991,16.36
Africa,OWID_AFR,1992,16.25
Africa,OWID_AFR,1993,16.1
Africa,OWID_AFR,1994,15.81
Africa,OWID_AFR,1995,15.4
Africa,OWID_AFR,1996,15.48
Africa,OWID_AFR,1997,15.15
Africa,OWID_AFR,1998,15.06
Africa,OWID_AFR,1999,14.27
Africa,OWID_AFR,2000,13.8
Africa,OWID_AFR,2001,13.43
Africa,OWID_AFR,2002,12.77
Africa,OWID_AFR,2003,12.23
Africa,OWID_AFR,2004,11.75
Africa,OWID_AFR,2005,11.04
Africa,OWID_AFR,2006,10.51
Africa,OWID_AFR,2007,10.05
Africa,OWID_AFR,2008,9.62
Africa,OWID_AFR,2009,9.43
Africa,OWID_AFR,2010,8.93
Africa,OWID_AFR,2011,8.9
Africa,OWID_AFR,2012,8.32
Africa,OWID_AFR,2013,8.03
Africa,OWID_AFR,2014,7.94
Africa,OWID_AFR,2015,7.79
Africa,OWID_AFR,2016,7.66
Africa,OWID_AFR,2017,7.59
Africa,OWID_AFR,2018,7.29
Africa,OWID_AFR,2019,7.21
Africa,OWID_AFR,2020,7.04
Africa,OWID_AFR,2021,7.15
Africa,OWID_AFR,2022,7.26
Africa,OWID_AFR,2023,6.81
Africa,OWID_AFR,2024,6.63
Asia,OWID_ASI,1974,14.17
Asia,OWID_ASI,1980,12.0
Asia,OWID_ASI,1990,8.98
Asia,OWID_ASI,2000,6.77
Asia,OWID_ASI,2010,4.2
Asia,OWID_ASI,2015,3.28
Asia,OWID_ASI,2020,2.73
Asia,OWID_ASI,2024,2.48
Europe,OWID_EUR,1973,2.55
Europe,OWID_EUR,1980,2.08
Europe,OWID_EUR,1990,1.59
Europe,OWID_EUR,2000,1.05
Europe,OWID_EUR,2010,0.67
Europe,OWID_EUR,2015,0.57
Europe,OWID_EUR,2020,0.47
Europe,OWID_EUR,2024,0.45
European Union (27),OWID_EU27,1973,2.59
European Union (27),OWID_EU27,1980,1.82
European Union (27),OWID_EU27,1990,1.23
European Union (27),OWID_EU27,2000,0.72
European Union (27),OWID_EU27,2010,0.49
European Union (27),OWID_EU27,2015,0.43
European Union (27),OWID_EU27,2020,0.39
European Union (27),OWID_EU27,2024,0.39
